                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1943,                 36.187,                 2.1439,                  1e-05,                 0.0137,                  1e-05,                      0,                 3.8562,                 21.322,                 3.1078,             0.00021816,             0.00021816,             0.00021816
                      2,                 1.9238,                 32.979,                 1.7047,                  2e-05,                0.01736,                  2e-05,                      0,                 3.2098,                 12.659,                 3.1546,             0.00042777,             0.00042777,             0.00042777
                      3,                 2.2594,                 25.509,                 2.0038,                  2e-05,                0.01759,                  3e-05,                  1e-05,                  3.034,                 12.148,                 3.0791,             0.00061939,             0.00061939,             0.00061939
                      4,                 1.9206,                 29.623,                  1.734,                  3e-05,                0.02725,                  3e-05,                  1e-05,                 3.0171,                 11.859,                 3.0492,               0.000793,               0.000793,               0.000793
                      5,                 1.8136,                 22.117,                 1.7925,                  5e-05,                0.03558,                  6e-05,                  1e-05,                 2.9665,                 11.723,                 2.9348,             0.00076501,             0.00076501,             0.00076501
                      6,                 1.5268,                 25.012,                 1.4433,                  5e-05,                0.02963,                  5e-05,                  1e-05,                 2.9448,                 11.431,                 2.8649,             0.00072902,             0.00072902,             0.00072902
                      7,                 1.7701,                 17.887,                 1.7835,                  1e-05,                0.02888,                  4e-05,                  1e-05,                 2.9567,                 11.301,                 2.8749,             0.00069302,             0.00069302,             0.00069302
                      8,                 1.6958,                 22.953,                 1.4443,                  2e-05,                0.03721,                  2e-05,                      0,                 2.9372,                  10.81,                 2.7969,             0.00065703,             0.00065703,             0.00065703
                      9,                 1.5877,                 20.912,                  1.388,                 0.0001,                0.05556,                  9e-05,                  2e-05,                 2.9777,                 9.9571,                 2.8582,             0.00062103,             0.00062103,             0.00062103
                     10,                 1.3707,                 17.628,                 1.3058,                0.00016,                0.06869,                0.00013,                  4e-05,                 2.9781,                 9.9742,                 2.8497,             0.00058503,             0.00058503,             0.00058503
                     11,                0.77717,                 21.949,                0.75015,                 0.0001,                0.05851,                  7e-05,                  1e-05,                  3.011,                 9.2226,                 2.8815,             0.00054904,             0.00054904,             0.00054904
                     12,                 1.6377,                  14.79,                 1.4429,                0.00033,                0.05612,                0.00017,                  2e-05,                 3.0153,                 8.9787,                 2.9003,             0.00051304,             0.00051304,             0.00051304
                     13,                 1.4456,                 14.441,                 1.3425,                  8e-05,                0.03483,                  5e-05,                  1e-05,                 2.9506,                 8.7294,                 2.9156,             0.00047704,             0.00047704,             0.00047704
                     14,                 1.6091,                 13.128,                 1.4625,                  3e-05,                  0.025,                  2e-05,                  1e-05,                 2.9124,                 8.5341,                 2.9361,             0.00044105,             0.00044105,             0.00044105
                     15,                 1.6638,                 12.434,                 1.5937,                  2e-05,                0.01667,                  1e-05,                      0,                    2.9,                 8.3349,                 2.9126,             0.00040505,             0.00040505,             0.00040505
